day,month,year,modern_site_code,historical_site_code,start_time,number,time_seg,HSF,notes,scientific_name,common_name,species_code,order,family
12,3,2021,KJPN2,KJPN,6:55,1,3,H,,Centropus sinensis,Greater Coucal,GRCO,Cuculiformes,Cuculidae (Cuckoos)
12,3,2021,KJPN2,KJPN,6:55,2,1,H,,Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
12,3,2021,KJPN2,KJPN,6:55,1,3,H,,Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Phylloscopus trochiloides,Greenish Warbler,GRWA,Passeriformes,Phylloscopidae (Leaf Warblers)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Phylloscopus nitidus,Green Warbler,GRNW,Passeriformes,Phylloscopidae (Leaf Warblers)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Turdus simillimus,Indian Blackbird,INBL,Passeriformes,Turdidae (Thrushes and Allies)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISBA,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISBA,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Phylloscopus magnirostris,Large-billed Leaf Warbler,LBLW,Passeriformes,Phylloscopidae (Leaf Warblers)
12,3,2021,KJPN2,KJPN,6:55,1,3,H,,Psilopogon malabaricus,Malabar Barbet,MABA,Piciformes,Megalaimidae (Asian Barbets)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Psittacula columboides,Malabar Parakeet,MAPA,Psittaciformes,Psittaculidae (Old World Parrots)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
12,3,2021,KJPN2,KJPN,6:55,1,3,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
12,3,2021,KJPN2,KJPN,6:55,2,2,S,,Pericrocotus flammeus,Orange Minivet,OM ,ORMI,Passeriformes
12,3,2021,KJPN2,KJPN,6:55,2,1,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Pellorneum ruficeps,Puff-throated Babbler,PTBA,Passeriformes,Pellorneidae (Ground Babblers and Allies)
12,3,2021,KJPN2,KJPN,6:55,2,3,H,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
12,3,2021,KJPN2,KJPN,6:55,2,2,H,,Streptopelia chinensis,Spotted Dove,SPDO,Columbiformes,Columbidae (Pigeons and Doves)
12,3,2021,KJPN2,KJPN,6:55,1,3,H,,Hypsipetes ganeesa,Square-tailed Bulbul,STBU,Passeriformes,Pycnonotidae (Bulbuls)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Loriculus vernalis,Vernal Hanging-Parrot,VHPA,Psittaciformes,Psittaculidae (Old World Parrots)
12,3,2021,KJPN2,KJPN,6:55,1,2,H,,Loriculus vernalis,Vernal Hanging-Parrot,VHPA,Psittaciformes,Psittaculidae (Old World Parrots)
12,3,2021,KJPN2,KJPN,6:55,3,1,H,,Psilopogon viridis,White-cheeked Barbet,WCBA,Piciformes,Megalaimidae (Asian Barbets)
12,3,2021,KJPN2,KJPN,6:55,1,1,H,,Halcyon smyrnensis,White-throated Kingfisher,WTKI,Coraciiformes,Alcedinidae (Kingfishers)
12,3,2021,KJPN2,KJPN,6:55,3,1,H,,Iole indica,Yellow-browed Bulbul,YBBU,Passeriformes,Pycnonotidae (Bulbuls)
12,3,2021,KJPN2,KJPN,6:55,3,2,H,,Iole indica,Yellow-browed Bulbul,YBBU,Passeriformes,Pycnonotidae (Bulbuls)
13,2,2021,KKTG1,KKTG,7:14,1,2,H,confirm,Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,Passeriformes,Muscicapidae (Old World Flycatchers)
15,3,2021,KKTG1,KKTG,8:25,1,1,H,,Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,Passeriformes,Muscicapidae (Old World Flycatchers)
